NUTS_BN_CODE,NUTS_CODE
165,TR
167,TR
183,TR
225,TR
243,ES
249,TR
255,TR
417,PT
441,ES
467,ES
567,ES
709,ES
722,TR
726,ES
807,PT
865,ES
942,EL
969,TR
973,EL
987,PT
1005,EL
1011,MK
1012,MK
1031,PT
1049,BG
1050,EL
1053,EL
1059,MK
1066,BG
1070,BG
1073,EL
1086,MK
1095,BG
1114,ES
1116,EL
1128,BG
1134,ES
1136,ES
1141,TR
1146,IT
1152,BG
1155,ES
1156,ES
1157,TR
1162,PT
1168,BG
1175,BG
1202,BG
1232,FR
1236,ES
1249,FR
1254,ME
1272,FR
1281,FR
1284,FR
1308,ES
1315,ES
1336,ES
1396,FR
1438,ES
1451,BG
1503,RO
1505,RO
1512,RO
1514,RO
1532,RO
1534,RO
1544,RO
1550,RO
1551,RO
1590,FR
1604,IT
1606,BG
1612,RO
1621,RO
1624,RO
1647,RO
1667,IT
1708,FR
1766,FR
1810,IT
1873,RO
1883,FR
1916,HR
1926,SI
1928,HR
1935,HR
1940,RO
1963,IT
1969,IT
1976,SI
2016,SI
2017,HU
2023,HR
2024,IT
2030,HR
2039,CH
2047,HU
2048,FR
2049,CH
2060,CH
2061,CH
2069,IT
2072,CH
2075,HU
2077,CH
2079,HR
2093,HU
2098,CH
2105,CH
2109,HU
2111,HU
2114,CH
2119,SI
2120,FR
2127,RO
2132,SI
2133,HU
2136,SI
2137,HU
2141,FR
2142,IT
2144,FR
2147,CH
2148,HU
2160,HR
2162,HU
2164,CH
2167,AT
2170,AT
2173,CH
2174,CH
2177,FR
2180,AT
2187,HU
2189,HR
2190,IT
2192,AT
2195,AT
2199,AT
2206,AT
2207,AT
2209,IT
2211,AT
2212,AT
2217,AT
2220,SI
2224,HU
2228,FR
2233,HU
2243,AT
2247,IT
2262,AT
2274,AT
2287,AT
2288,AT
2300,FR
2301,AT
2303,AT
2304,LI
2308,CH
2309,AT
2316,AT
2335,HU
2341,AT
2357,FR
2380,DE
2381,CH
2385,DE
2392,AT
2404,FR
2410,FR
2411,FR
2413,DE
2415,FR
2417,FR
2423,FR
2425,DE
2433,DE
2434,FR
2435,DE
2440,DE
2441,DE
2444,DE
2446,DE
2448,DE
2452,FR
2459,DE
2461,DE
2463,DE
2464,DE
2466,HU
2467,DE
2469,DE
2474,DE
2475,HU
2476,DE
2477,DE
2482,DE
2495,DE
2497,DE
2499,DE
2501,DE
2502,DE
2503,DE
2504,DE
2507,DE
2509,DE
2511,CH
2514,AT
2519,DE
2523,SK
2526,SK
2530,DE
2533,HU
2538,DE
2542,HU
2591,SK
2594,DE
2599,SK
2612,DE
2617,SK
2619,AT
2622,DE
2628,SK
2634,DE
2646,SK
2653,FR
2655,DE
2675,DE
2683,SK
2694,DE
2706,SK
2713,SK
2735,AT
2764,SK
2766,DE
2770,SK
2772,DE
2785,DE
2790,FR
2794,CZ
2829,DE
2841,FR
2854,CZ
2860,AT
2876,CZ
2878,CZ
2880,AT
2898,CZ
2899,CZ
2901,DE
2913,SK
2922,DE
2926,FR
2930,CZ
2940,CZ
2947,DE
2955,PL
2958,DE
2959,DE
2983,CZ
2987,PL
3001,PL
3023,DE
3026,CZ
3036,PL
3045,CZ
3051,DE
3056,PL
3065,LU
3069,LU
3074,BE
3078,DE
3085,CZ
3093,BE
3106,BE
3128,BE
3134,PL
3136,CZ
3141,BE
3146,DE
3158,BE
3189,DE
3204,FR
3210,CZ
3221,BE
3223,BE
3231,LU
3232,PL
3244,BE
3266,LU
3288,CZ
3296,PL
3297,BE
3300,PL
3310,BE
3330,BE
3335,PL
3340,DE
3342,DE
3363,PL
3372,BE
3409,DE
3418,BE
3423,DE
3424,BE
3433,DE
3438,PL
3444,DE
3456,DE
3472,PL
3477,BE
3484,DE
3490,PL
3497,BE
3507,BE
3514,DE
3525,NL
3534,BE
3537,NL
3544,BE
3548,BE
3556,NL
3563,NL
3568,DE
3608,BE
3618,DE
3639,PL
3642,PL
3648,DE
3650,BE
3684,DE
3695,BE
3716,NL
3756,NL
3762,DE
3777,NL
3800,NL
3801,DE
3805,NL
3811,NL
3853,NL
3860,NL
3870,NL
3910,NL
3913,NL
3926,NL
3928,BE
3936,NL
3968,PL
4014,NL
4139,PL
4185,NL
4187,NL
4190,NL
4259,DE
4287,NL
4318,PL
4380,NL
4390,PL
4423,DE
4492,NL
4502,NL
4509,PL
4530,NL
4550,PL
4585,PL
4595,NL
4621,DE
4676,DE
4827,PL
4958,DE
5012,PL
5013,UK
5050,LT
5118,IE
5132,DK
5145,DK
5279,LV
5325,LT
5397,LV
5401,LV
5403,LV
5404,LV
5409,LV
5574,EE
5704,EE
5731,EE
6272,NO
6463,SE
6556,SE
7435,SE
7723,SE
7791,SE
7861,NO
8255,NO
8576,SE
8694,NO
8753,FI
8789,SE
8824,NO
8830,NO
1,FR
2,FR
3,FR
4,FR
5,FR
6,FR
7,FR
8,FR
9,FR
10,FR
11,FR
12,FR
13,FR
14,FR
15,FR
16,FR
17,FR
18,FR
19,FR
20,FR
21,FR
22,FR
23,FR
24,FR
25,FR
26,FR
27,ES
28,ES
29,ES
30,ES
31,ES
32,ES
33,ES
34,ES
35,ES
36,ES
37,ES
38,PT
39,PT
40,PT
41,PT
42,PT
43,PT
44,PT
45,PT
46,PT
47,EL
48,EL
49,EL
50,EL
51,CY
52,EL
53,EL
54,EL
55,EL
56,EL
57,EL
59,EL
60,EL
61,ES
62,EL
63,EL
64,EL
65,EL
67,EL
68,EL
70,EL
71,EL
72,EL
73,EL
74,IT
75,EL
76,EL
77,EL
78,EL
79,EL
80,EL
81,EL
82,IT
83,EL
84,EL
85,EL
86,ES
87,EL
88,MT
89,MT
90,MT
91,EL
92,EL
93,ES
94,TR
95,EL
96,EL
97,TR
98,TR
99,EL
100,EL
101,EL
102,EL
103,EL
104,EL
105,EL
106,EL
107,EL
108,EL
109,EL
111,EL
112,EL
113,EL
114,EL
115,EL
116,EL
117,EL
118,EL
119,EL
120,EL
121,ES
122,EL
123,EL
124,EL
125,EL
126,EL
127,EL
128,EL
129,EL
130,EL
131,EL
132,EL
134,EL
135,EL
136,EL
137,EL
138,EL
139,EL
140,EL
141,TR
142,TR
143,TR
144,EL
145,EL
146,EL
147,ES
148,TR
149,TR
150,TR
152,EL
153,EL
154,IT
155,EL
156,EL
157,EL
158,EL
159,EL
160,EL
161,TR
162,EL
163,TR
164,TR
166,IT
168,EL
169,EL
170,EL
171,EL
173,EL
175,TR
176,EL
177,EL
179,TR
180,EL
181,EL
182,EL
184,EL
185,EL
186,EL
187,EL
188,ES
189,EL
191,EL
192,EL
194,EL
195,EL
196,EL
197,EL
198,EL
199,TR
200,PT
202,PT
203,EL
207,EL
209,EL
210,EL
212,EL
213,EL
214,EL
215,EL
216,EL
217,EL
219,ES
220,EL
222,IT
223,IT
224,EL
226,EL
227,EL
228,TR
230,TR
233,EL
234,EL
235,EL
236,EL
239,EL
241,EL
242,EL
243,PT
244,EL
245,EL
247,EL
248,EL
250,EL
251,EL
252,EL
253,EL
256,EL
257,EL
259,TR
260,EL
261,EL
262,EL
265,EL
273,EL
274,EL
275,EL
276,EL
277,EL
278,EL
280,EL
281,EL
285,EL
286,EL
287,EL
288,EL
290,EL
291,EL
292,EL
293,EL
295,EL
296,EL
297,EL
298,EL
302,IT
303,EL
304,IT
307,EL
308,EL
310,ES
312,EL
313,EL
314,EL
315,TR
317,EL
318,EL
319,EL
322,EL
323,EL
327,IT
329,EL
330,EL
331,EL
332,EL
333,EL
334,ES
335,ES
336,EL
339,EL
340,EL
342,PT
344,EL
345,EL
347,EL
351,EL
356,EL
357,EL
359,EL
360,EL
361,EL
362,EL
366,EL
370,IT
372,TR
374,IT
375,EL
376,EL
382,EL
384,EL
385,EL
386,EL
389,IT
393,IT
394,EL
397,EL
402,EL
403,IT
404,EL
405,EL
406,ES
408,EL
409,EL
415,EL
417,ES
422,EL
423,IT
424,IT
425,ES
426,EL
429,EL
430,EL
431,EL
432,EL
436,IT
441,PT
442,EL
443,EL
447,EL
449,EL
450,EL
451,EL
453,EL
455,EL
456,EL
457,EL
458,EL
459,EL
460,EL
465,PT
467,PT
468,IT
469,EL
470,TR
473,EL
474,TR
475,TR
476,EL
477,EL
481,EL
482,EL
483,EL
485,EL
486,EL
489,PT
490,EL
491,EL
492,EL
493,EL
494,EL
495,IT
496,EL
499,TR
500,EL
505,PT
507,EL
508,PT
509,IT
511,IT
512,EL
516,IT
517,EL
519,EL
520,EL
521,EL
522,PT
524,PT
525,IT
526,EL
528,IT
530,EL
531,EL
532,EL
533,TR
537,EL
538,IT
542,PT
546,EL
547,EL
548,EL
551,ES
554,ES
555,ES
557,IT
559,EL
560,PT
561,EL
562,EL
564,EL
565,IT
566,EL
567,PT
568,EL
569,ES
572,IT
573,TR
578,ES
579,EL
580,ES
581,IT
583,EL
586,IT
589,EL
590,PT
592,ES
595,EL
596,EL
602,IT
603,IT
605,EL
609,EL
611,EL
612,EL
613,EL
617,EL
619,EL
620,ES
621,EL
622,EL
625,TR
626,EL
627,EL
629,IT
630,ES
632,ES
633,EL
634,EL
638,EL
639,EL
640,EL
641,EL
643,IT
648,EL
650,EL
651,TR
655,EL
656,EL
657,TR
658,PT
659,EL
664,TR
665,EL
667,EL
668,EL
670,EL
672,TR
675,TR
678,EL
679,EL
682,PT
687,EL
695,ES
696,EL
701,PT
703,EL
704,IT
707,EL
709,PT
710,TR
712,ES
715,IT
717,EL
723,PT
726,PT
727,IT
728,EL
729,EL
734,EL
735,EL
736,PT
737,TR
740,EL
741,EL
743,ES
745,EL
748,EL
751,TR
754,IT
758,ES
759,IT
766,EL
768,IT
769,EL
770,IT
773,ES
774,EL
777,EL
780,ES
782,TR
785,EL
794,PT
795,EL
796,IT
799,EL
801,TR
807,ES
810,IT
816,EL
818,EL
831,IT
834,TR
835,IT
837,TR
838,TR
841,EL
842,TR
844,EL
847,IT
850,TR
851,TR
852,EL
855,TR
856,EL
861,TR
863,IT
864,EL
865,PT
867,TR
868,EL
875,ES
880,TR
883,EL
884,TR
886,IT
890,IT
901,IT
902,TR
904,TR
907,EL
910,IT
912,IT
915,EL
916,EL
919,EL
920,EL
921,IT
923,TR
924,PT
927,EL
931,EL
933,EL
934,TR
935,IT
937,TR
938,TR
942,MK
943,EL
946,TR
950,IT
953,MK
954,IT
955,EL
956,IT
965,IT
967,IT
969,EL
971,EL
973,MK
975,TR
981,TR
985,IT
987,ES
989,IT
990,TR
992,IT
994,MK
998,TR
1000,TR
1002,IT
1005,MK
1007,TR
1010,IT
1011,EL
1012,EL
1013,TR
1015,IT
1022,IT
1023,TR
1027,TR
1030,IT
1031,ES
1033,IT
1034,ES
1035,IT
1040,IT
1041,IT
1044,IT
1047,IT
1048,IT
1049,EL
1050,BG
1053,BG
1056,TR
1059,EL
1060,FR
1066,EL
1067,FR
1070,EL
1073,BG
1081,PT
1085,FR
1086,BG
1089,TR
1092,PT
1093,TR
1095,EL
1097,TR
1101,TR
2628,HU
2634,FR
2646,AT
2653,DE
2655,AT
2675,AT
2678,HU
2683,HU
2689,FR
2694,AT
2705,FR
2706,AT
2713,HU
2715,FR
2735,SK
2740,FR
2757,FR
2764,AT
2766,AT
2770,HU
2772,AT
2780,FR
2785,AT
2790,DE
2791,SK
2793,FR
2794,AT
2801,FR
2804,FR
2806,FR
2827,FR
2829,AT
2841,DE
2845,FR
2854,SK
2860,CZ
2863,FR
2872,FR
